config_id,symbol,direction,event_timestamp,event_type,policy_id,exit_family
5a8f352484,IWM,short,2025-07-14T13:53:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-07-24T13:59:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-08-04T13:52:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-08-28T13:52:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-09-04T14:11:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-09-15T14:02:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-10-10T13:49:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-10-24T14:15:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-11-13T15:08:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-11-13T15:09:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-12-10T15:14:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2025-12-10T15:15:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2025-12-23T15:10:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2026-01-09T15:12:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2026-02-03T14:54:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2026-02-06T14:54:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2026-02-06T14:55:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,short,2026-03-17T14:01:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2026-04-22T14:10:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2026-04-24T13:59:00+00:00,entry,5a8f352484,fixed_1r
5a8f352484,IWM,long,2026-05-06T14:11:00+00:00,entry,5a8f352484,fixed_1r
639a672c5f,IWM,long,2021-06-18T13:59:00+00:00,entry,639a672c5f,fixed_1r
639a672c5f,IWM,short,2024-08-05T14:07:00+00:00,entry,639a672c5f,fixed_1r
63ac072483,IWM,long,2021-06-18T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-07-13T14:11:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-08-24T14:10:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-09-01T14:01:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-09-08T14:12:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-09-14T14:06:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-09-14T14:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-09-24T13:52:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-11-19T15:11:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-11-19T15:12:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2021-12-27T15:02:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-02-14T15:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-03-28T13:54:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-04-08T14:03:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-05-09T14:13:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-05-18T13:45:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-08-26T13:53:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-08-26T13:54:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-09-06T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-10-27T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-10-31T13:52:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-11-14T14:49:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2022-12-20T14:49:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-01-25T15:03:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-02-23T15:13:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-04-25T13:52:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-05-09T14:12:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-07-06T13:47:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-07-21T13:56:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-09-05T13:55:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2023-11-07T14:44:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-01-08T14:47:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-01-26T15:10:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-02-16T14:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-03-27T14:08:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-04-12T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-05-23T13:57:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-06-11T13:51:00+00:00,entry,63ac072483,fixed_1r
